,Random Query,MSSIM,EarthMovers,OneDividedByEpsilon,KSTest,Scagnostics
2_DAWA_clusters_0.05_64,41.568,0.845632911,0.658691406,20,0.920410156,0.290228207
2_AHP_clusters_0.05_64,126.4050145,0.867308855,1.633061598,20,0.135009766,0.909195506
2_AGrid_clusters_0.05_64,62.86532778,0.593966365,2.032231682,20,0.542480469,0.574677193
2_Geometric_clusters_0.05_64,585.9776,0.665937185,9.551269531,20,0.655761719,0.905889549
2_Laplace_clusters_0.05_64,176.5471599,0.515223205,19.45810821,20,0.514648438,0.907170215
2_DAWA_clusters_0.01_32,388.8526,0.50965929,8.551757813,100,0.232421875,0.808497097
2_AHP_clusters_0.01_32,438.2293046,0.491527736,9.324700161,100,0.184570313,0.905715446
2_AGrid_clusters_0.01_32,393.3855839,0.52694732,23.68791824,100,0.564453125,0.810687876
2_Geometric_clusters_0.01_32,2961.0104,0.541607976,48.81347656,100,0.637695313,0.911857729
2_Laplace_clusters_0.01_32,884.8457295,0.438640356,97.81240794,100,0.515625,0.912143733
2_DAWA_clusters_0.01_64,123.7962,0.569031715,1.708251953,100,0.434082031,0.851217464
2_AHP_clusters_0.01_64,163.8805484,0.850599766,2.251207701,100,0.143554688,0.907005114
2_AGrid_clusters_0.01_64,179.9793441,0.53450048,6.455260361,100,0.564453125,0.798924486
2_Geometric_clusters_0.01_64,3233.2416,0.657533109,50.67700195,100,0.559570313,0.910015084
2_Laplace_clusters_0.01_64,818.9840489,0.459050715,98.61312262,100,0.507324219,0.906528569
2_DAWA_correlation_0.5_32,23.3386,0.989143968,0.419921875,2,0.973632813,0.297333412
2_AHP_correlation_0.5_32,34.42545427,0.993160248,0.753683006,2,0.264648438,0.356320155
2_AGrid_correlation_0.5_32,15.03470736,0.975608826,0.880780967,2,0.60546875,0.365208079
2_Geometric_correlation_0.5_32,43.6472,0.994356334,0.8203125,2,0.741210938,0.663641226
2_Laplace_correlation_0.5_32,19.80365494,0.978733659,1.688493106,2,0.602539063,0.678303297
2_DAWA_correlation_0.5_64,12.9576,0.990813673,0.156494141,2,0.98046875,0.244908696
2_AHP_correlation_0.5_64,47.45570011,0.988824964,0.709711844,2,0.181152344,0.504596322
2_AGrid_correlation_0.5_64,11.28717193,0.95558393,0.478003835,2,0.505859375,0.311555369
2_Geometric_correlation_0.5_64,49.6308,0.980023086,0.825927734,2,0.714111328,0.804360538
2_Laplace_correlation_0.5_64,16.82220728,0.936133325,1.736463782,2,0.562011719,0.787837956
2_DAWA_correlation_0.1_32,46.9328,0.93347007,1.524414063,10,0.864257813,0.346773806
2_AHP_correlation_0.1_32,176.1709648,0.937553346,3.281801843,10,0.220703125,0.812251249
2_AGrid_correlation_0.1_32,73.55300625,0.84971714,3.833274746,10,0.623046875,0.533085901
2_Geometric_correlation_0.1_32,257.8624,0.894667625,4.45703125,10,0.705078125,0.820111565
2_Laplace_correlation_0.1_32,78.61573647,0.784620225,8.902281066,10,0.5625,0.776759665
2_DAWA_correlation_0.1_64,24.9626,0.941325307,0.451904297,10,0.943603516,0.170979935
2_AHP_correlation_0.1_64,97.39287466,0.949599206,1.446638604,10,0.181152344,0.789539473
2_AGrid_correlation_0.1_64,41.50420355,0.812652826,1.302595331,10,0.523681641,0.557235351
2_Geometric_correlation_0.1_64,288.0134,0.798076034,4.751464844,10,0.67578125,0.904366828
2_Laplace_correlation_0.1_64,95.28870055,0.641687751,9.433092719,10,0.527832031,0.885879608
2_DAWA_correlation_0.05_32,157.622,0.9052248,3.8828125,20,0.638671875,0.44075394
2_AHP_correlation_0.05_32,230.8115866,0.884490728,5.021323459,20,0.194335938,0.902011854
2_AGrid_correlation_0.05_32,129.7311311,0.62864542,6.82198722,20,0.625976563,0.632749393
2_Geometric_correlation_0.05_32,479.7422,0.782786727,8.463867188,20,0.677734375,0.883219714
2_Laplace_correlation_0.05_32,168.5119143,0.649802446,17.10806851,20,0.579101563,0.877585195
2_DAWA_correlation_0.05_64,41.568,0.845632911,0.658691406,20,0.920410156,0.301519307
2_AHP_correlation_0.05_64,126.4050145,0.867308855,1.633061598,20,0.135009766,0.91188745
2_AGrid_correlation_0.05_64,62.86532778,0.593966365,2.032231682,20,0.542480469,0.625627288
2_Geometric_correlation_0.05_64,573.531,0.67277956,9.717529297,20,0.664306641,0.908887914
2_Laplace_correlation_0.05_64,160.5392519,0.548286676,18.9721118,20,0.510986328,0.899883786
2_DAWA_correlation_0.01_32,388.8526,0.50965929,8.551757813,100,0.232421875,0.80455462
2_AHP_correlation_0.01_32,438.2293046,0.491527736,9.324700161,100,0.184570313,0.902964828
2_AGrid_correlation_0.01_32,393.3855839,0.52694732,23.68791824,100,0.564453125,0.813684629
2_Geometric_correlation_0.01_32,3018.8804,0.517675996,49.05273438,100,0.654296875,0.891480686
2_Laplace_correlation_0.01_32,882.2897316,0.445162296,98.03122508,100,0.520507813,0.908319956
2_DAWA_correlation_0.01_64,123.7962,0.569031715,1.708251953,100,0.434082031,0.851983297
2_AHP_correlation_0.01_64,163.8805484,0.850599766,2.251207701,100,0.143554688,0.90357906
2_AGrid_correlation_0.01_64,179.9793441,0.53450048,6.455260361,100,0.564453125,0.812709131
2_Geometric_correlation_0.01_64,3049.1006,0.590543568,48.5690918,100,0.566894531,0.905844889
2_Laplace_correlation_0.01_64,906.4697489,0.501287043,101.4497278,100,0.499511719,0.899004027
1_DAWA_distribution_0.5_32,17.5264,0.994303286,0.325195313,2,0.98046875,0.343254716
1_AHP_distribution_0.5_32,12.98109549,0.998069823,0.52624203,2,0.127929688,0.301245746
1_AGrid_distribution_0.5_32,11.77336865,0.988473177,1.088484683,2,0.500976563,0.282241584
1_Geometric_distribution_0.5_32,55.6156,0.996430874,0.921875,2,0.682617188,0.719846217
1_Laplace_distribution_0.5_32,15.0102656,0.987852812,1.817180184,2,0.55078125,0.706157215
1_DAWA_distribution_0.5_64,8.364,0.988340676,0.166992188,2,0.987060547,0.30177816
1_AHP_distribution_0.5_64,15.97809694,0.992502332,0.288769788,2,0.079345703,0.303289489
1_AGrid_distribution_0.5_64,6.365058029,0.931134224,0.359683121,2,0.478027344,0.321984295
1_Geometric_distribution_0.5_64,58.5926,0.980502248,0.939941406,2,0.668945313,0.814614364
1_Laplace_distribution_0.5_64,16.73815092,0.917680264,1.910055667,2,0.535644531,0.796877287
1_DAWA_distribution_0.1_32,19.8432,0.985658407,0.802734375,10,0.879882813,0.449197694
1_AHP_distribution_0.1_32,61.84562141,0.977305114,2.03590893,10,0.127929688,0.668849741
1_AGrid_distribution_0.1_32,39.23533413,0.965599835,2.703236173,10,0.518554688,0.343618213
1_Geometric_distribution_0.1_32,249.0982,0.934265256,4.100585938,10,0.61328125,0.805571062
1_Laplace_distribution_0.1_32,76.35174688,0.824195921,9.506922107,10,0.560546875,0.784539126
1_DAWA_distribution_0.1_64,11.1392,0.976884544,0.254150391,10,0.984619141,0.540771612
1_AHP_distribution_0.1_64,56.19351581,0.954517365,1.060171287,10,0.079345703,0.376723574
1_AGrid_distribution_0.1_64,19.89578745,0.897699714,0.892039784,10,0.410400391,0.414939849
1_Geometric_distribution_0.1_64,304.1614,0.7781775,4.813476563,10,0.571777344,0.811780796
1_Laplace_distribution_0.1_64,87.06877492,0.60749799,9.842819021,10,0.521972656,0.821506107
1_DAWA_distribution_0.05_32,44.4434,0.976934433,1.872070313,20,0.639648438,0.817161426
1_AHP_distribution_0.05_32,103.7104347,0.968175411,2.890298481,20,0.104492188,0.834594603
1_AGrid_distribution_0.05_32,93.28776873,0.887158692,5.200974057,20,0.528320313,0.415659998
1_Geometric_distribution_0.05_32,650.708,0.831210434,10.2265625,20,0.606445313,0.778085149
1_Laplace_distribution_0.05_32,146.8134413,0.643863082,19.15273998,20,0.5234375,0.777995108
1_DAWA_distribution_0.05_64,12.0844,0.907828927,0.342041016,20,0.985107422,0.474862158
1_AHP_distribution_0.05_64,79.87645462,0.841428399,1.156817058,20,0.079345703,0.352702041
1_AGrid_distribution_0.05_64,39.78763912,0.791547537,1.361456189,20,0.428955078,0.250496576
1_Geometric_distribution_0.05_64,589.8638,0.699771047,9.346435547,20,0.577880859,0.812127869
1_Laplace_distribution_0.05_64,157.2412121,0.501229405,18.87131127,20,0.5078125,0.800452058
1_DAWA_distribution_0.01_32,166.1536,0.744523942,4.916992188,100,0.15234375,0.841309446
1_AHP_distribution_0.01_32,187.6367763,0.348695636,8.877589178,100,0.133789063,0.853596738
1_AGrid_distribution_0.01_32,365.8905961,0.559556782,24.72239416,100,0.548828125,0.564011409
1_Geometric_distribution_0.01_32,3062.422,0.53348279,48.06347656,100,0.587890625,0.801019022
1_Laplace_distribution_0.01_32,840.9193124,0.433987856,101.3129137,100,0.493164063,0.799716294
1_DAWA_distribution_0.01_64,63.7658,0.600210309,1.798339844,100,0.719970703,0.635812309
1_AHP_distribution_0.01_64,123.2646936,0.886290371,1.982142232,100,0.062988281,0.800121899
1_AGrid_distribution_0.01_64,170.6409064,0.556558132,6.299631578,100,0.506103516,0.431680608
1_Geometric_distribution_0.01_64,3134.5742,0.628696322,49.73510742,100,0.550292969,0.793719586
1_Laplace_distribution_0.01_64,868.7028716,0.465619802,97.93773286,100,0.508056641,0.82645398
3_DAWA_distribution_0.5_32,45.6424,0.757342756,0.590820313,2,0.92578125,0.098293938
3_AHP_distribution_0.5_32,60.93684007,0.812866092,1.21575983,2,0.564453125,0.072182375
3_AGrid_distribution_0.5_32,13.70705534,0.699820578,0.656108816,2,0.841796875,0.199795883
3_Geometric_distribution_0.5_32,21.4606,0.850179076,0.462890625,2,0.918945313,0.042015046
3_Laplace_distribution_0.5_32,20.23497228,0.766549349,0.951358957,2,0.772460938,0.070312511
3_DAWA_distribution_0.5_64,29.3684,0.634274006,0.397460938,2,0.84765625,0.197848029
3_AHP_distribution_0.5_64,61.52286689,0.633898377,1.059440167,2,0.274414063,0.073108773
3_AGrid_distribution_0.5_64,5.82579178,0.694031835,0.322220213,2,0.571289063,0.275630159
3_Geometric_distribution_0.5_64,38.6868,0.72577399,0.680664063,2,0.868652344,0.106999042
3_Laplace_distribution_0.5_64,16.41587024,0.586020291,1.399912437,2,0.637695313,0.1490721
3_DAWA_distribution_0.1_32,64.0196,0.603939533,0.953125,10,0.921875,0.063252892
3_AHP_distribution_0.1_32,261.0826866,0.591846406,4.309907566,10,0.3359375,0.09681013
3_AGrid_distribution_0.1_32,41.19119652,0.501203895,1.632899736,10,0.796875,0.263873342
3_Geometric_distribution_0.1_32,158.6112,0.631486773,3.307617188,10,0.81640625,0.115767669
3_Laplace_distribution_0.1_32,71.08287893,0.495223284,6.74829782,10,0.65625,0.108645661
3_DAWA_distribution_0.1_64,33.756,0.573889971,0.424804688,10,0.846191406,0.29828777
3_AHP_distribution_0.1_64,70.02920187,0.594139218,1.292400063,10,0.283447266,0.044709905
3_AGrid_distribution_0.1_64,18.12143301,0.487348974,0.568771085,10,0.676757813,0.507981246
3_Geometric_distribution_0.1_64,282.6076,0.543499231,4.776611328,10,0.713134766,0.071596274
3_Laplace_distribution_0.1_64,77.86609495,0.449134588,9.075054466,10,0.549804688,0.149406768
3_DAWA_distribution_0.05_32,100.1306,0.553849995,1.203125,20,0.83203125,0.133522739
3_AHP_distribution_0.05_32,277.1575987,0.385796487,4.536745083,20,0.36328125,0.079290839
3_AGrid_distribution_0.05_32,77.46146637,0.448495656,3.205555776,20,0.705078125,0.316854923
3_Geometric_distribution_0.05_32,432.2436,0.523324907,8.38671875,20,0.791015625,0.149442164
3_Laplace_distribution_0.05_32,146.8680908,0.414604634,17.0556469,20,0.586914063,0.10911242
3_DAWA_distribution_0.05_64,37.9742,0.566651821,0.480224609,20,0.894775391,0.32156976
3_AHP_distribution_0.05_64,70.5802144,0.590078592,1.32484454,20,0.283691406,0.054249765
3_AGrid_distribution_0.05_64,34.94999959,0.444211006,0.901228034,20,0.705078125,0.49404617
3_Geometric_distribution_0.05_64,587.0074,0.515149832,9.572998047,20,0.646972656,0.131979042
3_Laplace_distribution_0.05_64,170.5248301,0.40191713,19.00609794,20,0.530273438,0.176161894
3_DAWA_distribution_0.01_32,229.6272,0.461414516,3.05078125,100,0.61328125,0.045928318
3_AHP_distribution_0.01_32,345.5493219,0.25,6.548046284,100,0.375976563,0.037781724
3_AGrid_distribution_0.01_32,376.043182,0.399245054,21.87810878,100,0.590820313,0.42089822
3_Geometric_distribution_0.01_32,3160.2618,0.516249537,51.109375,100,0.600585938,0.162018858
3_Laplace_distribution_0.01_32,796.0349824,0.406636775,96.58428565,100,0.514648438,0.133250665
3_DAWA_distribution_0.01_64,70.3462,0.496223629,1.057617188,100,0.567382813,0.051023789
3_AHP_distribution_0.01_64,83.18531089,0.592867196,1.660298464,100,0.281494141,0.096345582
3_AGrid_distribution_0.01_64,172.7680758,0.403234482,5.401421016,100,0.590820313,0.384031074
3_Geometric_distribution_0.01_64,3170.6128,0.549356639,52.22827148,100,0.528808594,0.144467192
3_Laplace_distribution_0.01_64,865.9173722,0.400741041,99.40680994,100,0.518066406,0.126088595
17_DAWA_distribution_0.5_32,41.6576,0.752389014,0.743164063,2,0.928710938,0.096432786
17_AHP_distribution_0.5_32,54.33042853,0.861711442,1.315563377,2,0.615234375,0.217647071
17_AGrid_distribution_0.5_32,16.7793624,0.734122634,0.863414988,2,0.791992188,0.10838226
17_Geometric_distribution_0.5_32,26.5854,0.88948822,0.43359375,2,0.954101563,0.22171619
17_Laplace_distribution_0.5_32,14.31575514,0.817438304,0.739855192,2,0.774414063,0.216773582
17_DAWA_distribution_0.5_64,27.7226,0.749384403,0.410400391,2,0.899414063,0.12035465
17_AHP_distribution_0.5_64,40.30844098,0.806805432,1.061646904,2,0.455322266,0.081967622
17_AGrid_distribution_0.5_64,11.49266076,0.68716228,0.595515731,2,0.558837891,0.22713796
17_Geometric_distribution_0.5_64,39.5234,0.764296234,0.671386719,2,0.882324219,0.230376297
17_Laplace_distribution_0.5_64,16.43369579,0.66311872,1.411295978,2,0.654785156,0.224552759
